Epoch 0000, AveLoss: nan, BestValMRR 0.4977, BestTestMRR: 0.4856, test_hit@1: 0.4401, test_hit@3: 0.5048, test_hit@10: 0.5728, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0025, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0026, AveLoss: nan, BestValMRR 0.6457, BestTestMRR: 0.6257, test_hit@1: 0.5718, test_hit@3: 0.6503, test_hit@10: 0.7293, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0027, AveLoss: nan, BestValMRR 0.6476, BestTestMRR: 0.6320, test_hit@1: 0.5775, test_hit@3: 0.6586, test_hit@10: 0.7357, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0028, AveLoss: nan, BestValMRR 0.6476, BestTestMRR: 0.6320, test_hit@1: 0.5775, test_hit@3: 0.6586, test_hit@10: 0.7357, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0029, AveLoss: nan, BestValMRR 0.6489, BestTestMRR: 0.6361, test_hit@1: 0.5819, test_hit@3: 0.6631, test_hit@10: 0.7386, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0030, AveLoss: nan, BestValMRR 0.6489, BestTestMRR: 0.6361, test_hit@1: 0.5819, test_hit@3: 0.6631, test_hit@10: 0.7386, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0031, AveLoss: nan, BestValMRR 0.6489, BestTestMRR: 0.6361, test_hit@1: 0.5819, test_hit@3: 0.6631, test_hit@10: 0.7386, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0032, AveLoss: nan, BestValMRR 0.6501, BestTestMRR: 0.6413, test_hit@1: 0.5871, test_hit@3: 0.6665, test_hit@10: 0.7456, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0033, AveLoss: nan, BestValMRR 0.6529, BestTestMRR: 0.6445, test_hit@1: 0.5915, test_hit@3: 0.6709, test_hit@10: 0.7454, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0034, AveLoss: nan, BestValMRR 0.6529, BestTestMRR: 0.6445, test_hit@1: 0.5915, test_hit@3: 0.6709, test_hit@10: 0.7454, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0035, AveLoss: nan, BestValMRR 0.6571, BestTestMRR: 0.6430, test_hit@1: 0.5898, test_hit@3: 0.6695, test_hit@10: 0.7427, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0036, AveLoss: nan, BestValMRR 0.6588, BestTestMRR: 0.6400, test_hit@1: 0.5870, test_hit@3: 0.6643, test_hit@10: 0.7422, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0037, AveLoss: nan, BestValMRR 0.6588, BestTestMRR: 0.6441, test_hit@1: 0.5912, test_hit@3: 0.6694, test_hit@10: 0.7441, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0038, AveLoss: nan, BestValMRR 0.6588, BestTestMRR: 0.6441, test_hit@1: 0.5912, test_hit@3: 0.6694, test_hit@10: 0.7441, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0039, AveLoss: nan, BestValMRR 0.6588, BestTestMRR: 0.6441, test_hit@1: 0.5912, test_hit@3: 0.6694, test_hit@10: 0.7441, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0040, AveLoss: nan, BestValMRR 0.6601, BestTestMRR: 0.6502, test_hit@1: 0.5996, test_hit@3: 0.6751, test_hit@10: 0.7450, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0041, AveLoss: nan, BestValMRR 0.6601, BestTestMRR: 0.6502, test_hit@1: 0.5996, test_hit@3: 0.6751, test_hit@10: 0.7450, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0042, AveLoss: nan, BestValMRR 0.6601, BestTestMRR: 0.6502, test_hit@1: 0.5996, test_hit@3: 0.6751, test_hit@10: 0.7450, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0043, AveLoss: nan, BestValMRR 0.6614, BestTestMRR: 0.6487, test_hit@1: 0.5963, test_hit@3: 0.6762, test_hit@10: 0.7476, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0044, AveLoss: nan, BestValMRR 0.6614, BestTestMRR: 0.6514, test_hit@1: 0.5996, test_hit@3: 0.6765, test_hit@10: 0.7503, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0045, AveLoss: nan, BestValMRR 0.6614, BestTestMRR: 0.6514, test_hit@1: 0.5996, test_hit@3: 0.6765, test_hit@10: 0.7503, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0046, AveLoss: nan, BestValMRR 0.6614, BestTestMRR: 0.6514, test_hit@1: 0.5996, test_hit@3: 0.6765, test_hit@10: 0.7503, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0047, AveLoss: nan, BestValMRR 0.6614, BestTestMRR: 0.6514, test_hit@1: 0.5996, test_hit@3: 0.6765, test_hit@10: 0.7503, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0048, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0049, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0050, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0051, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0052, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0053, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0054, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0055, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0056, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0057, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0058, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0059, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0060, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0061, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0062, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0063, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0064, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0065, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0066, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
Epoch 0067, AveLoss: nan, BestValMRR 0.6629, BestTestMRR: 0.6495, test_hit@1: 0.5976, test_hit@3: 0.6746, test_hit@10: 0.7492, Model: diffusion_mstep200_t3_lr0.001_wd1e-05_m0_r0_e0, Dataset: ICEWS14
